order_id,customer_id,restaurant_id,dish_ordered,order_time,delivery_time,order_status,price,quantity,delivery_address,delivery_partner_id,delivery_time ,expected delivery_time
59,164,283,Pav Bhaji,2024-01-23 22:59:55,2024-01-23 23:58:00,Successful,211,5,"85 Rana Street, Anand-162288",351,59,40
60,443,113,Paneer Tikka,2024-03-14 13:19:10,2024-03-14 14:19:00,Successful,775,4,"584, Jani Chowk Tezpur-990382",430,60,32
61,252,75,Dal Makhani,2024-07-27 22:10:28,2024-07-27 23:44:00,Successful,455,1,"95/99, Mallick Zila, Thoothukudi 206560",58,94,29
62,112,281,Pav Bhaji,2024-03-05 23:50:53,2024-03-06 01:31:00,Successful,823,1,"H.No. 56 Singh Marg, New Delhi 160326",34,101,36
63,243,17,Tandoori Chicken,2024-08-11 19:13:48,2024-08-11 19:36:00,Cancelled,890,4,"29/176 Mani, Erode 466836",174,23,37
64,451,110,Paneer Tikka,2024-08-01 18:30:49,2024-08-01 19:39:00,Successful,436,3,H.No. 09 Sathe Circle Ongole 865764,21,69,26
65,462,147,Tandoori Chicken,2024-04-04 05:52:40,2024-04-04 06:48:00,Cancelled,480,1,"63/99, Gulati Zila, Korba 694819",318,56,34
66,107,201,Paneer Tikka,2024-03-12 06:10:31,2024-03-12 06:48:00,Successful,266,1,"60/35, Gala Road, Bhagalpur 106464",497,38,25
67,118,107,Aloo Paratha,2024-04-23 02:43:22,2024-04-23 04:10:00,Cancelled,361,3,"H.No. 88, Thakur Path, Kota 516683",397,87,22
68,399,289,Pav Bhaji,2024-04-04 10:49:58,2024-04-04 12:42:00,Successful,310,5,"31/76, Arya Circle Kharagpur 076589",103,113,31
69,129,121,Pav Bhaji,2024-05-18 14:16:14,2024-05-18 16:00:00,Successful,348,3,H.No. 913 Grover Nagar Sri Ganganagar-626236,490,104,22
70,151,134,Aloo Paratha,2024-07-06 10:25:11,2024-07-06 11:38:00,Successful,106,1,"76, Goel Chowk Nangloi Jat-234448",96,73,38
71,215,258,Aloo Paratha,2024-01-20 17:40:13,2024-01-20 18:39:00,Successful,258,5,"H.No. 062, Dugal Berhampore 898633",397,59,33
72,402,18,Paneer Tikka,2024-04-20 17:05:20,2024-04-20 18:05:00,Successful,148,3,"37/92, Karan Nagar Miryalaguda 415274",286,60,32
73,279,228,Butter Chicken,2024-06-22 20:52:53,2024-06-22 21:50:00,Successful,666,1,"H.No. 07, Dara Marg Anantapur-760953",187,58,22
74,156,91,Chole Bhature,2024-07-17 16:18:36,2024-07-17 18:10:00,Successful,918,3,"H.No. 87, Rajan Nagar Pune 644457",415,112,23
75,350,45,Aloo Paratha,2024-08-24 18:22:39,2024-08-24 18:45:00,Successful,243,1,"46, Ganguly Nagar, Madurai 304373",483,23,32
76,221,134,Tandoori Chicken,2024-06-27 18:49:15,2024-06-27 20:36:00,Successful,712,2,"006, Bahri Road, Guwahati-623159",265,107,34
77,459,43,Paneer Tikka,2024-02-26 04:22:04,2024-02-26 05:13:00,Successful,456,5,"H.No. 986, Jhaveri Nagar, Bulandshahr-700212",351,51,39
78,372,152,Pav Bhaji,2024-03-08 01:34:27,2024-03-08 03:22:00,Successful,367,4,"66/64, Trivedi Nagar Sirsa 509583",147,108,39
79,125,49,Biryani,2024-02-17 16:43:46,2024-02-17 17:26:00,Successful,820,1,"73 Chakraborty Zila, Naihati-795721",112,43,38
80,258,233,Aloo Paratha,2024-02-19 03:58:47,2024-02-19 05:02:00,Successful,315,3,"192 Wable Circle, Alwar-348499",93,64,37
81,485,176,Biryani,2024-05-04 20:46:19,2024-05-04 21:33:00,Successful,563,3,"H.No. 42 Bakshi Nagar, Gandhinagar 236513",401,47,25
82,129,227,Chole Bhature,2024-08-30 04:05:39,2024-08-30 05:09:00,Successful,865,2,"H.No. 574 Savant, Bokaro-971373",279,64,36
83,194,247,Dal Makhani,2024-03-24 22:04:47,2024-03-24 23:10:00,Successful,689,4,97 Dara Hapur-839580,445,66,40
84,379,182,Dal Makhani,2024-03-26 23:33:08,2024-03-27 01:23:00,Successful,983,2,35/36 Ghose Street Ujjain-877688,150,110,33
85,381,298,Aloo Paratha,2024-06-12 13:45:57,2024-06-12 14:45:00,Successful,574,5,19/687 Chaudhari Ganj Belgaum-666998,190,60,25
86,225,276,Dosa,2024-01-14 06:59:40,2024-01-14 08:43:00,Successful,623,4,"80/61 Rama Zila, Kakinada 091861",476,104,36
87,474,100,Pav Bhaji,2024-03-22 15:16:23,2024-03-22 16:39:00,Successful,280,5,073 Talwar Ganj Panipat-188523,248,83,35
88,78,254,Aloo Paratha,2024-01-09 07:32:09,2024-01-09 09:01:00,Successful,425,2,"10, Bal Ganj Phusro-992524",152,89,27
89,112,103,Dosa,2024-08-04 09:03:28,2024-08-04 10:01:00,Successful,550,3,"H.No. 81 Kota Chowk, Allahabad-244115",243,58,32
90,472,277,Dal Makhani,2024-08-25 23:26:01,2024-08-26 01:24:00,Successful,758,4,"H.No. 696, Jha, Coimbatore 714865",71,118,25
91,396,238,Tandoori Chicken,2024-03-18 09:03:26,2024-03-18 10:01:00,Successful,220,3,"630, Varughese Ganj, Noida-292489",241,58,29
92,115,258,Dal Makhani,2024-04-02 05:33:25,2024-04-02 06:15:00,Successful,404,4,"24/051 Jayaraman Circle, Karnal-396275",91,42,34
93,386,12,Aloo Paratha,2024-09-01 22:36:06,2024-09-01 23:12:00,Successful,879,3,"H.No. 291, Iyengar Road, Amroha 340951",127,36,31
94,64,153,Pav Bhaji,2024-07-10 11:28:41,2024-07-10 12:00:00,Successful,269,3,"H.No. 07 Kapoor Road, Navi Mumbai 551830",329,32,32
95,125,93,Tandoori Chicken,2024-04-10 03:45:47,2024-04-10 05:10:00,Successful,791,2,"03/123 Kibe Circle, Kurnool-967305",328,85,25
96,225,7,Tandoori Chicken,2024-01-15 08:30:25,2024-01-15 09:09:00,Cancelled,536,3,"H.No. 79 Dewan, Sambalpur-569223",179,39,21
97,436,242,Tandoori Chicken,2024-09-02 10:52:52,2024-09-02 11:33:00,Successful,966,2,"363, Bath Street, Phusro-225318",218,41,20
98,390,212,Aloo Paratha,2024-07-01 03:22:03,2024-07-01 05:17:00,Successful,459,4,"H.No. 31, Samra Shimoga-372245",79,115,32
99,159,182,Samosa,2024-08-08 15:40:07,2024-08-08 17:24:00,Successful,643,5,"09/232, Anne Ganj, Medininagar-102621",297,104,27
100,499,71,Biryani,2024-08-23 18:48:57,2024-08-23 19:40:00,Successful,913,1,"H.No. 300, Wason Road Loni-370233",403,52,27
101,3,189,Biryani,2024-09-04 20:24:51,2024-09-04 21:52:00,Successful,490,1,"93, Ratta Circle, Jamnagar 511039",269,88,34
102,408,218,Dal Makhani,2024-03-03 11:01:44,2024-03-03 12:57:00,Successful,180,3,"910, Bhalla Road Panvel-835920",8,116,26
103,392,3,Paneer Tikka,2024-02-09 06:36:35,2024-02-09 07:27:00,Successful,584,2,"H.No. 571, Ramanathan Path, Alappuzha 053557",77,51,29
104,2,89,Samosa,2024-09-07 02:13:36,2024-09-07 04:11:00,Successful,832,1,996 Gera Road Sonipat 820429,400,118,25
105,355,56,Samosa,2024-01-18 15:50:30,2024-01-18 17:30:00,Successful,775,5,"H.No. 284, Kota Street, Delhi-162990",183,100,21
106,47,175,Pav Bhaji,2024-07-07 05:39:25,2024-07-07 07:30:00,Successful,289,2,"H.No. 610, Gandhi Path Bhopal 635971",309,111,24
107,309,226,Biryani,2024-04-22 03:24:55,2024-04-22 04:00:00,Successful,508,2,"H.No. 63, Mahal Chowk, Tadipatri-721416",218,36,30
108,126,283,Dosa,2024-02-12 08:26:29,2024-02-12 09:02:00,Successful,113,4,"H.No. 57, Bedi Chowk, Vellore 666371",111,36,23
109,189,293,Biryani,2024-07-25 09:00:11,2024-07-25 10:57:00,Successful,311,5,"H.No. 10, Choudhury Road Agartala-126075",478,117,37
110,456,98,Dal Makhani,2024-01-01 07:42:11,2024-01-01 09:42:00,Successful,227,2,29 Maharaj Street Dehradun 943023,492,120,31
111,236,105,Samosa,2024-09-11 00:19:01,2024-09-11 00:52:00,Successful,877,5,"65, Solanki Nagar, Dhanbad 649803",363,33,39
112,416,87,Aloo Paratha,2024-04-26 09:03:48,2024-04-26 09:43:00,Cancelled,402,4,"H.No. 28 Bhagat Circle, Bhubaneswar 937303",462,40,22
113,88,118,Dal Makhani,2024-05-14 00:39:30,2024-05-14 01:35:00,Successful,709,2,"H.No. 65 Tank Marg, Rampur-808036",182,56,29
114,130,282,Dosa,2024-03-09 03:58:57,2024-03-09 04:36:00,Successful,502,5,"49, Boase Road, Meerut-519863",284,38,29
115,466,73,Butter Chicken,2024-01-24 03:55:40,2024-01-24 04:19:00,Successful,847,4,484 Sarin Street Thoothukudi-136664,52,24,38
116,397,234,Pav Bhaji,2024-01-01 11:54:35,2024-01-01 13:24:00,Successful,468,3,H.No. 311 Johal Ganj Dharmavaram 533104,131,90,30
117,36,44,Aloo Paratha,2024-03-03 00:01:01,2024-03-03 01:41:00,Successful,656,3,"H.No. 827, Sarkar Nagar Bijapur 175741",428,100,31
118,315,52,Tandoori Chicken,2024-02-17 06:26:45,2024-02-17 06:55:00,Cancelled,835,1,"721 Sarma, Bihar Sharif 101345",309,29,22
119,210,55,Chole Bhature,2024-07-09 16:27:43,2024-07-09 17:17:00,Cancelled,408,5,078 Reddy Baranagar 622060,83,50,25
120,488,51,Dosa,2024-04-16 18:10:57,2024-04-16 19:45:00,Successful,557,4,"57/00 Setty Zila, Hospet 236242",332,95,40
121,234,109,Aloo Paratha,2024-05-27 10:55:38,2024-05-27 11:34:00,Cancelled,639,5,"96, Bhargava Nagar Haridwar 641671",152,39,21
122,127,128,Biryani,2024-04-19 23:34:13,2024-04-20 01:02:00,Successful,282,1,"H.No. 818, Gera Chowk, Davanagere-249852",120,88,34
123,226,160,Tandoori Chicken,2024-04-04 05:58:09,2024-04-04 06:48:00,Successful,884,4,"H.No. 35, Jha Road Serampore 342793",231,50,28
124,477,293,Samosa,2024-03-08 02:23:43,2024-03-08 03:01:00,Successful,347,2,85/136 Wason Panihati 035303,79,38,27
125,362,51,Chole Bhature,2024-08-27 02:42:15,2024-08-27 03:06:00,Successful,525,5,"955 Sachdev Road, Durg 863963",404,24,24
126,273,12,Biryani,2024-09-03 16:20:10,2024-09-03 18:06:00,Successful,837,3,"H.No. 264, Sarraf Circle Bidhannagar 222465",173,106,26
127,47,244,Pav Bhaji,2024-08-13 08:45:26,2024-08-13 09:22:00,Cancelled,863,2,39 Halder Marg Berhampore-737774,482,37,38
128,44,261,Chole Bhature,2024-01-10 07:43:41,2024-01-10 09:08:00,Successful,190,1,71/30 Sharma Road Kanpur-102274,431,85,34
129,63,195,Dosa,2024-03-22 21:40:52,2024-03-22 22:46:00,Successful,445,2,33 Kannan Nagar Tirunelveli 364651,10,66,38
130,285,148,Samosa,2024-05-30 14:22:30,2024-05-30 15:01:00,Successful,730,3,52/690 Chaudry Ganj Pondicherry-256176,85,39,37
131,448,248,Samosa,2024-04-21 15:55:13,2024-04-21 16:29:00,Successful,454,1,"241 Sen Circle, Kulti 657119",441,34,23
132,181,103,Butter Chicken,2024-07-20 20:55:58,2024-07-20 21:48:00,Successful,377,1,"H.No. 85, Srinivasan, Tumkur 154624",191,53,38
133,449,13,Dal Makhani,2024-02-27 12:19:00,2024-02-27 13:47:00,Successful,181,4,"063, Issac, Faridabad-798434",101,88,38
134,85,266,Chole Bhature,2024-05-08 03:39:24,2024-05-08 04:21:00,Successful,598,3,"H.No. 505 Char Street, Bhilwara 419721",112,42,32
135,491,5,Butter Chicken,2024-06-30 02:30:55,2024-06-30 03:23:00,Successful,101,4,"02/87, D’Alia Marg, Mango 963379",110,53,36
136,292,248,Butter Chicken,2024-05-18 04:36:19,2024-05-18 05:26:00,Successful,519,2,"H.No. 97 Kar Zila, North Dumdum-685723",8,50,21
137,354,295,Butter Chicken,2024-07-09 16:06:11,2024-07-09 16:56:00,Successful,619,2,"H.No. 40, Sagar Road Dehradun-420104",463,50,20
138,126,244,Chole Bhature,2024-01-19 16:49:18,2024-01-19 17:09:00,Successful,669,3,"H.No. 20, Ratta Path, Tezpur 492630",345,20,20
139,395,159,Pav Bhaji,2024-06-07 05:42:28,2024-06-07 06:25:00,Successful,437,4,629 Kulkarni Ganj Nagercoil-368429,397,43,38
140,304,73,Dosa,2024-04-07 00:50:19,2024-04-07 02:17:00,Successful,128,4,"79/49, Setty Zila, Shahjahanpur 123231",388,87,35
141,79,8,Dosa,2024-03-18 02:28:23,2024-03-18 03:43:00,Successful,410,5,"H.No. 304, Swamy Road, Indore 861466",163,75,33
142,241,166,Biryani,2024-07-15 07:42:28,2024-07-15 09:35:00,Successful,874,4,"58/30, Bir Street Khandwa-594739",197,113,33
143,309,135,Butter Chicken,2024-02-07 01:47:16,2024-02-07 02:43:00,Successful,459,1,"34/55 Dara Street, Mau-784651",8,56,26
144,428,198,Tandoori Chicken,2024-05-10 14:31:02,2024-05-10 16:16:00,Successful,696,2,"52/39 Tella Ganj, Phusro 819326",231,105,39
145,325,74,Aloo Paratha,2024-06-20 06:26:24,2024-06-20 07:49:00,Successful,987,3,"89 Khatri, Phagwara-831560",469,83,24
146,255,39,Butter Chicken,2024-04-21 21:37:56,2024-04-21 22:35:00,Successful,254,3,"08, Sankar Street, Aligarh-998994",112,58,32
147,271,127,Butter Chicken,2024-05-30 10:47:48,2024-05-30 11:07:00,Successful,223,1,"H.No. 575, Majumdar Chowk, Tumkur-713342",418,20,32
148,86,62,Butter Chicken,2024-03-29 01:56:10,2024-03-29 03:06:00,Successful,129,1,"90/41, Varma Chowk, Malegaon-051826",453,70,22
149,197,64,Tandoori Chicken,2024-04-05 00:50:20,2024-04-05 01:53:00,Successful,378,5,"50/63, Bala Ganj, Bettiah 907620",26,63,25
150,303,201,Pav Bhaji,2024-02-19 09:14:09,2024-02-19 11:13:00,Successful,617,3,76/757 Ratta Ganj Pimpri-Chinchwad 306739,483,119,32
151,178,140,Pav Bhaji,2024-02-29 07:13:54,2024-02-29 08:05:00,Successful,254,1,H.No. 774 Suri Chowk Hindupur 747388,137,52,23
152,125,79,Tandoori Chicken,2024-02-09 14:20:08,2024-02-09 14:50:00,Successful,625,1,"89/521, Balay Road, Madurai 512971",17,30,36
153,36,276,Chole Bhature,2024-04-18 03:39:32,2024-04-18 05:05:00,Successful,649,5,H.No. 660 Roy Path Aurangabad-386505,55,86,23
154,330,131,Dal Makhani,2024-05-18 06:16:25,2024-05-18 06:42:00,Successful,317,3,63/501 Hari Marg Raebareli 040962,316,26,37
155,74,21,Dal Makhani,2024-07-07 09:28:34,2024-07-07 10:34:00,Successful,572,2,"32/831 Krishnan Marg, Nandyal-648818",166,66,26
156,335,208,Biryani,2024-05-11 07:17:16,2024-05-11 07:55:00,Successful,247,2,13/19 Sibal Tumkur 199925,264,38,36
157,241,49,Dal Makhani,2024-06-08 20:03:00,2024-06-08 20:24:00,Successful,548,4,"H.No. 27, Chaudhry Marg Mehsana-646102",407,21,39
158,452,80,Paneer Tikka,2024-03-29 03:53:11,2024-03-29 04:44:00,Successful,267,2,"87, Iyengar Circle, Nellore 855331",369,51,27
159,401,290,Aloo Paratha,2024-07-02 23:25:28,2024-07-03 00:56:00,Successful,268,2,"140, Hans Nagar, Jhansi-904333",101,91,29
160,267,86,Butter Chicken,2024-06-23 02:36:32,2024-06-23 04:32:00,Successful,721,2,"133 Bala Nagar, Ambarnath-650582",96,116,39
161,261,228,Dal Makhani,2024-06-16 09:07:23,2024-06-16 11:07:00,Successful,130,2,"H.No. 133, Subramaniam Circle, Bongaigaon 950331",62,120,34
162,132,297,Samosa,2024-05-07 01:54:27,2024-05-07 03:43:00,Successful,832,4,"H.No. 71, Goda Zila, Bhind 932155",196,109,23
163,46,174,Chole Bhature,2024-05-27 12:43:33,2024-05-27 14:23:00,Successful,271,2,"21/003, Sha Street Guna 244911",144,100,37
164,297,71,Samosa,2024-09-12 14:00:11,2024-09-12 15:47:00,Successful,620,3,53 Choudhary Nagar Ajmer 081830,82,107,21
165,210,286,Chole Bhature,2024-06-13 16:14:18,2024-06-13 16:37:00,Successful,964,5,08/14 Balan Marg Muzaffarnagar-452482,36,23,36
166,157,133,Paneer Tikka,2024-04-04 05:13:42,2024-04-04 07:13:00,Successful,730,1,"982, Sabharwal Nagar, Udaipur 966087",409,120,26
167,284,45,Dosa,2024-01-16 11:53:53,2024-01-16 13:45:00,Successful,193,3,45/436 Lanka Path Aligarh-286563,71,112,21
168,225,198,Paneer Tikka,2024-08-09 14:49:12,2024-08-09 15:38:00,Successful,538,4,"31/428, Shankar Circle Kakinada 304927",207,49,36
169,348,136,Tandoori Chicken,2024-09-08 21:34:49,2024-09-08 23:12:00,Successful,978,3,44 Handa Road Ghaziabad 253551,299,98,37
170,170,23,Dal Makhani,2024-08-30 23:46:20,2024-08-31 01:45:00,Successful,620,5,"621, Andra Path Chittoor-854711",56,119,37
171,463,62,Chole Bhature,2024-05-29 10:14:58,2024-05-29 10:45:00,Successful,865,5,"21/77 Varty Ganj, Darbhanga-163926",204,31,23
172,347,20,Aloo Paratha,2024-01-03 22:32:19,2024-01-04 00:06:00,Successful,624,1,"95/771 Vaidya Circle, Ratlam 900885",464,94,30
173,446,257,Chole Bhature,2024-03-29 08:31:40,2024-03-29 10:19:00,Cancelled,115,2,"H.No. 74 Banerjee Circle, Shivpuri-887591",267,108,27
174,322,287,Pav Bhaji,2024-05-03 18:10:06,2024-05-03 19:12:00,Successful,173,3,"814, Chhabra Marg Thane-647095",225,62,21
175,236,276,Dal Makhani,2024-02-15 17:07:15,2024-02-15 18:39:00,Cancelled,249,4,H.No. 96 Sule Marg Vijayawada 184066,496,92,24
176,121,148,Dosa,2024-05-26 19:18:17,2024-05-26 21:04:00,Successful,255,4,03 Lad Ganj Chapra-568403,428,106,34
177,440,78,Butter Chicken,2024-04-17 23:35:20,2024-04-18 00:42:00,Successful,685,1,"68/485, Saraf Marg Akola-079897",163,67,29
178,339,185,Chole Bhature,2024-06-11 14:54:53,2024-06-11 16:38:00,Cancelled,282,4,"23/25, Ramachandran Path, Bidhannagar-989484",103,104,39
179,191,16,Pav Bhaji,2024-03-12 18:10:37,2024-03-12 19:35:00,Successful,195,4,70/14 Dani Circle Sambhal 238294,382,85,39
180,462,181,Butter Chicken,2024-05-17 14:07:03,2024-05-17 15:59:00,Successful,146,5,"173, Sharma Marg, Shimoga 921831",463,112,35
181,287,85,Aloo Paratha,2024-08-01 10:44:35,2024-08-01 12:22:00,Successful,104,4,"50/824, Barad Rajkot-055876",107,98,23
182,108,137,Dosa,2024-05-18 08:51:14,2024-05-18 10:08:00,Successful,746,5,"H.No. 167 Dhar Chowk, Tadipatri 984156",119,77,21
183,484,258,Biryani,2024-08-17 04:18:50,2024-08-17 06:00:00,Successful,880,4,"95/999, Trivedi Street Shimoga 439504",377,102,20
184,180,212,Pav Bhaji,2024-02-24 21:35:52,2024-02-24 22:30:00,Successful,362,2,H.No. 531 Anne Circle Bulandshahr 919549,175,55,25
